;userName;content;score;at
0;Vamouz Gamers;Investasi Saham yang menurut saya cocok untuk pemula;5;2021-03-28 8.59.08
1;Ersa Andyfa;sangat membantu belajar investasi bagi para pemula;5;2021-03-28 0.50.32
2;Kadek Salendri;Tim bibit sangat sabar dalam melayani;5;2021-05-17 14.23.11
3;Alby_Ra World;Aplikasi yang ok buat investor pemula seperti saya;5;2021-04-15 11.51.24
4;Yohanes Kristoforus;aplikasi yg user friendly banget... mantapp...;5;2021-04-06 14.17.50
5;Dhanny Junior;MANTAPPPPPPPP SAYA SUKA;5;2021-06-01 12.36.59
6;Lock down;Rekomended buat pemula, pake kode ichinisan, biar dapet cashback 25rb rupiah;5;2021-03-28 16.16.17
7;silent crews;baru belajar jadi ntar reviews lagi, sementara nice;3;2021-04-07 21.15.21
8;Reza Tokyo;Aman, legal dan terpercaya, terutama bagi pemula;5;2021-04-08 0.57.38
9;Anto Fajr;Insyaallah berkah dengan masukan kode' akumauikut ' dapat casback 25rb;5;2021-05-18 8.38.25
10;aziz Maulanamuhammad;"Kuy buruan nabung dibibit dn dptkan cashback Rp. 25000 dgn m'gunakn kode referral >>""cuansama2""<< Salamcuan??";5;2021-05-16 7.50.51
11;Achmad Yachya;Semoga aja kedepannya bisa melalui DANA Untuk Transaksi Dan Penarikan;5;2021-04-24 19.59.27
12;Karpina Ismed;"Pake kode refferal aku yuk ; vivincantik ??";5;2021-05-18 6.08.05
13;Rendy Muhammad;Tingkatan ya min??.. tampilan berubah mode malam yaa;5;2021-05-11 15.54.05
14;721 NOES;aplikasi ribet, proses wd sama maen lama proses nya;1;2021-04-19 10.08.41
15;Asep Rahman;sangat membantu;5;2021-06-02 14.23.17
16;Tsania Yumna;Belum invest sih, tp melihat pergerakan nya, bibit mantabh;5;2021-04-09 1.02.19
17;Raja karomain;Tambahin dana dong... Soalnya gak punya rekening;3;2021-04-22 15.19.50
18;VTUBER INDONESIA;Salam Lancar Jiwa ????????????;5;2021-05-28 23.32.07
19;riqza vauzi;Semangat nabung rutin untuk investasi jangka panjang ??;5;2021-05-04 16.08.51
20;btari sarah safira;Kenapa aplikasinya keluar mulu ya?;3;2021-05-20 3.28.42
21;Lovena Artha;Trimakasih banyak ya saya sudah bisa membuka app nya dengan lancar??;5;2021-03-31 8.42.55
